# y+    uz urur uthuth uzuz
  9.866666667E+00  4.999106753E+00  9.452265648E-10  9.454967855E-10  1.293187779E-12
  9.733333333E+00  4.996440086E+00  9.631038791E-10  9.726641950E-10  1.357136625E-12
  9.600000000E+00  4.991995642E+00  9.918249798E-10  1.010010385E-09  5.716316309E-12
  9.466666667E+00  4.985773419E+00  1.014103111E-09  1.036739017E-09  5.083933274E-12
  9.333333333E+00  4.977773419E+00  9.967768478E-10  1.009591990E-09  2.405897703E-11
  9.200000000E+00  4.967995641E+00  9.583017132E-10  9.590214747E-10  1.734434818E-11
  9.066666667E+00  4.956440086E+00  9.160569173E-10  9.073787319E-10  1.804778549E-11
  8.933333333E+00  4.943106753E+00  8.774625791E-10  8.639805255E-10  6.107470085E-11
  8.800000000E+00  4.927995642E+00  8.427260566E-10  8.296315424E-10 -7.034373084E-13
  8.666666667E+00  4.911106752E+00  8.132534114E-10  8.054000925E-10  7.027978199E-11
  8.533333333E+00  4.892440086E+00  7.904498915E-10  7.896129260E-10  4.808953236E-11
  8.400000000E+00  4.871995641E+00  7.635653543E-10  7.666109370E-10  5.952216497E-11
  8.266666667E+00  4.849773419E+00  7.199627879E-10  7.221245941E-10  1.306474928E-10
  8.133333333E+00  4.825773419E+00  6.713062988E-10  6.697301723E-10 -1.323243737E-10
  8.000000000E+00  4.799995641E+00  6.230222963E-10  6.175228526E-10  2.659774623E-10
  7.866666667E+00  4.772440086E+00  5.777416363E-10  5.704278097E-10  7.113598599E-11
  7.733333333E+00  4.743106752E+00  5.367833162E-10  5.304694803E-10 -1.698907681E-11
  7.600000000E+00  4.711995641E+00  5.017050414E-10  4.988103973E-10  1.445386033E-10
  7.466666667E+00  4.679106752E+00  4.706661657E-10  4.720234020E-10  3.738875876E-11
  7.333333333E+00  4.644440085E+00  4.335567329E-10  4.373583658E-10  1.084998758E-10
  7.200000000E+00  4.607995641E+00  3.924115754E-10  3.966814942E-10  1.666258242E-10
  7.066666667E+00  4.569773418E+00  3.526989759E-10  3.564136748E-10  1.357669532E-10
  6.933333333E+00  4.529773419E+00  3.161423902E-10  3.193504733E-10  6.228262350E-11
  6.800000000E+00  4.487995641E+00  2.832726452E-10  2.866952580E-10  5.503366651E-10
  6.666666667E+00  4.444440086E+00  2.545823141E-10  2.594270619E-10 -8.326601630E-10
  6.533333333E+00  4.399106752E+00  2.296636504E-10  2.367848493E-10  7.884963793E-10
  6.400000000E+00  4.351995641E+00  2.059850149E-10  2.152517356E-10 -2.180762237E-10
  6.266666667E+00  4.303106752E+00  1.811948780E-10  1.915536318E-10 -1.986393272E-10
  6.133333333E+00  4.252440085E+00  1.577018392E-10  1.681100167E-10  4.356621730E-10
  6.000000000E+00  4.199995640E+00  1.362924961E-10  1.462270112E-10 -2.081890216E-11
  5.866666667E+00  4.145773418E+00  1.175793121E-10  1.270891000E-10 -5.555378380E-11
  5.733333333E+00  4.089773418E+00  1.016613380E-10  1.110513939E-10  1.100886493E-09
  5.600000000E+00  4.031995640E+00  8.833049131E-11  9.807202907E-11  4.571383272E-10
  5.466666667E+00  3.972440085E+00  7.664380917E-11  8.719374233E-11  2.761613160E-10
  5.333333333E+00  3.911106752E+00  6.530639252E-11  7.635969760E-11 -1.639746117E-09
  5.200000000E+00  3.847995640E+00  5.473396999E-11  6.576549425E-11  1.407636674E-09
  5.066666667E+00  3.783106751E+00  4.542951356E-11  5.612128399E-11 -1.372200131E-10
  4.933333333E+00  3.716440085E+00  3.763811395E-11  4.798120530E-11 -2.144638245E-09
  4.800000000E+00  3.647995639E+00  3.109059787E-11  4.131500228E-11  2.302870783E-09
  4.666666667E+00  3.577773418E+00  2.569422198E-11  3.603238793E-11  6.327365298E-10
  4.533333333E+00  3.505773418E+00  2.122782958E-11  3.174366650E-11 -7.707789962E-11
  4.400000000E+00  3.431995639E+00  1.728219693E-11  2.784831431E-11  6.339799796E-10
  4.266666667E+00  3.356440084E+00  1.367847918E-11  2.387591927E-11  8.577067945E-10
  4.133333333E+00  3.279106752E+00  1.060940274E-11  2.012465439E-11 -3.100257828E-09
  4.000000000E+00  3.199995640E+00  8.137359044E-12  1.684124449E-11  2.459469073E-09
  3.866666667E+00  3.119106751E+00  6.184601375E-12  1.407080336E-11  1.580575670E-09
  3.733333333E+00  3.036440085E+00  4.684540784E-12  1.176389980E-11 -2.390850184E-09
  3.600000000E+00  2.951995639E+00  3.549116845E-12  9.890290856E-12  2.107954700E-09
  3.466666667E+00  2.865773418E+00  2.624367124E-12  8.151890722E-12 -1.345393130E-09
  3.333333333E+00  2.777773417E+00  1.876823184E-12  6.546787821E-12 -3.357669698E-11
  3.200000000E+00  2.687995639E+00  1.316945060E-12  5.192285118E-12 -9.252634214E-10
  3.066666667E+00  2.596440084E+00  9.164971501E-13  4.108383189E-12  3.442686136E-09
  2.933333333E+00  2.503106751E+00  6.376801124E-13  3.264052469E-12 -4.406031984E-09
  2.800000000E+00  2.407995639E+00  4.459551129E-13  2.612938519E-12  2.926281439E-09
  2.666666667E+00  2.311106750E+00  3.025678252E-13  2.060786549E-12 -9.295044734E-10
  2.533333333E+00  2.212440084E+00  1.965458377E-13  1.587119601E-12 -3.531214432E-09
  2.400000000E+00  2.111995639E+00  1.265958963E-13  1.210355479E-12  3.246928060E-09
  2.266666667E+00  2.009773417E+00  8.216900779E-14  9.251331064E-13 -1.519859794E-09
  2.133333333E+00  1.905773416E+00  5.431069482E-14  7.203385443E-13  1.234045754E-09
  2.000000000E+00  1.799995639E+00  3.629978702E-14  5.669115599E-13 -2.244780362E-09
  1.866666667E+00  1.692440083E+00  2.450381515E-14  4.318487310E-13  3.310358210E-09
  1.733333333E+00  1.583106750E+00  1.763370180E-14  3.234177842E-13  2.901217933E-09
  1.600000000E+00  1.471995639E+00  1.375121754E-14  2.445328692E-13 -2.019455714E-09
  1.466666667E+00  1.359106751E+00  1.255403436E-14  1.909534320E-13 -2.234135543E-09
  1.333333333E+00  1.244440083E+00  1.238812206E-14  1.354292867E-13  1.737687105E-09
  1.200000000E+00  1.127995639E+00  1.194570131E-14  8.670679154E-14 -4.345929616E-09
  1.066666667E+00  1.009773417E+00  1.254519073E-14  5.795457738E-14 -4.383228225E-09
  9.333333333E-01  8.897734153E-01  1.264730793E-14  3.916227935E-14 -7.305166472E-10
  8.000000000E-01  7.679956392E-01  1.096698274E-14  2.637449357E-14 -2.924126608E-09
  6.666666667E-01  6.444400827E-01  1.000947243E-14  2.572892572E-14 -2.264454735E-09
  5.333333333E-01  5.191067503E-01  8.421657950E-15  2.667957985E-14 -4.104250273E-10
  4.000000000E-01  3.919956403E-01  7.198071883E-15  2.340894131E-14 -6.439108691E-10
  2.666666667E-01  2.631067584E-01  8.109795940E-15  2.042387875E-14  5.793203139E-10
